,mae,mse,rmse,mape,mase
naive_forecast_results,858.74207,1631648.0,1277.3597,2.4183554649353027%,0.9988591
ensemble_results_2,932.3086,1826788.8,1351.5875,2.667914390563965%,1.0856677
